,author,repo,path,file_type,file_depth,vars_in_file,vars_in_file_alldepths,unique_vars_in_file_alldepths,most_occurring_var,unique_values_in_file_alldepths,most_occurring_value,lines_of_code,language
0,adamedx,winbox,adamedx\winbox\.kitchen.yml,<class 'dict'>,3,4,0,0,0,0,0,16,chef
1,adamkrone,chef-consul-template,adamkrone\chef-consul-template\.coveralls.yml,<class 'dict'>,2,1,0,0,0,0,0,1,chef
2,adamkrone,chef-consul-template,adamkrone\chef-consul-template\.kitchen.yml,<class 'dict'>,3,4,0,0,0,0,0,100,chef
3,adamkrone,chef-consul-template,adamkrone\chef-consul-template\.rubocop.yml,<class 'dict'>,3,4,0,0,0,0,0,13,chef
4,adamkrone,chef-consul-template,adamkrone\chef-consul-template\.rubocop_todo.yml,<class 'dict'>,3,9,0,0,0,0,0,67,chef
5,adamkrone,chef-consul-template,adamkrone\chef-consul-template\.travis.yml,<class 'dict'>,4,6,0,0,0,0,0,13,chef
6,aespinosa,cookbook-kube,aespinosa\cookbook-kube\.kitchen.yml,<class 'dict'>,3,4,0,0,0,0,0,21,chef
7,aespinosa,cookbook-kube,aespinosa\cookbook-kube\test\unit\.rubocop.yml,<class 'dict'>,3,1,0,0,0,0,0,3,chef
8,ajgon,opsworks_ruby,ajgon\opsworks_ruby\.fasterer.yml,<class 'dict'>,3,1,0,0,0,0,0,9,chef
9,ajgon,opsworks_ruby,ajgon\opsworks_ruby\.kitchen.docker.yml,<class 'dict'>,3,1,0,0,0,0,0,4,chef
10,ajgon,opsworks_ruby,ajgon\opsworks_ruby\.kitchen.yml,<class 'dict'>,3,4,0,0,0,0,0,214,chef
11,ajgon,opsworks_ruby,ajgon\opsworks_ruby\.overcommit.yml,<class 'dict'>,4,2,0,0,0,0,0,71,chef
12,ajgon,opsworks_ruby,ajgon\opsworks_ruby\.rubocop.yml,<class 'dict'>,3,5,0,0,0,0,0,16,chef
13,ajgon,opsworks_ruby,ajgon\opsworks_ruby\.travis.yml,<class 'dict'>,4,10,0,0,0,0,0,49,chef
14,ajgon,opsworks_ruby,ajgon\opsworks_ruby\docker-compose.yml,<class 'dict'>,4,2,0,0,0,0,0,8,chef
15,AnalogJ,capsulecd,AnalogJ\capsulecd\capsule.yml,<class 'dict'>,2,8,0,0,0,0,0,20,chef
16,AnalogJ,capsulecd,AnalogJ\capsulecd\example.capsule.yml,<class 'dict'>,3,38,0,0,0,0,0,180,chef
17,AnalogJ,capsulecd,AnalogJ\capsulecd\.circleci\config.yml,<class 'dict'>,4,2,0,0,0,0,0,139,chef
18,AnalogJ,capsulecd,AnalogJ\capsulecd\pkg\config\testdata\asset_configuration.yml,<class 'dict'>,2,1,0,0,0,0,0,6,chef
19,AnalogJ,capsulecd,AnalogJ\capsulecd\pkg\config\testdata\compile_cmd_list_configuration.yml,<class 'dict'>,2,1,0,0,0,0,0,5,chef
20,AnalogJ,capsulecd,AnalogJ\capsulecd\pkg\config\testdata\compile_cmd_simple_configuration.yml,<class 'dict'>,2,1,0,0,0,0,0,2,chef
21,AnalogJ,capsulecd,AnalogJ\capsulecd\pkg\config\testdata\incorrect_configuration.yml,<class 'dict'>,2,3,0,0,0,0,0,4,chef
22,AnalogJ,capsulecd,AnalogJ\capsulecd\pkg\config\testdata\pre_post_step_hook_configuration.yml,<class 'dict'>,3,12,0,0,0,0,0,61,chef
23,AnalogJ,capsulecd,AnalogJ\capsulecd\pkg\config\testdata\sample_configuration.yml,<class 'dict'>,2,6,0,0,0,0,0,7,chef
24,AnalogJ,capsulecd,AnalogJ\capsulecd\pkg\config\testdata\sample_configuration_overrides.yml,<class 'dict'>,2,2,0,0,0,0,0,4,chef
