,author,repo,path,file_type,file_depth,vars_in_file,vars_in_file_alldepths,unique_vars_in_file_alldepths,most_occurring_var,unique_values_in_file_alldepths,most_occurring_value,lines_of_code,language
0,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\.fixtures.yml,<class 'dict'>,5,1,0,0,0,0,0,10,puppet
1,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\.travis.yml,<class 'dict'>,3,9,0,0,0,0,0,27,puppet
2,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\spec\acceptance\nodesets\centos-66-x64.yml,<class 'dict'>,4,2,0,0,0,0,0,10,puppet
3,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\spec\acceptance\nodesets\centos-7-x64-docker.yml,<class 'dict'>,4,2,0,0,0,0,0,9,puppet
4,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\spec\acceptance\nodesets\centos-70-x64.yml,<class 'dict'>,4,2,0,0,0,0,0,10,puppet
5,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\spec\acceptance\nodesets\debian-78-x64.yml,<class 'dict'>,4,2,0,0,0,0,0,10,puppet
6,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\spec\acceptance\nodesets\debian-8-x64-docker.yml,<class 'dict'>,4,2,0,0,0,0,0,13,puppet
7,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\spec\acceptance\nodesets\default.yml,<class 'dict'>,4,2,0,0,0,0,0,10,puppet
8,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\spec\acceptance\nodesets\ubuntu-1404-x64.yml,<class 'dict'>,4,2,0,0,0,0,0,10,puppet
9,ajcrowe,puppet-supervisord,ajcrowe\puppet-supervisord\spec\acceptance\nodesets\ubuntu-1604-x64.yml,<class 'dict'>,4,2,0,0,0,0,0,10,puppet
10,albatrossflavour,puppet_os_patching,albatrossflavour\puppet_os_patching\.fixtures.yml,<class 'dict'>,5,1,0,0,0,0,0,6,puppet
11,albatrossflavour,puppet_os_patching,albatrossflavour\puppet_os_patching\.gitlab-ci.yml,<class 'dict'>,4,6,0,0,0,0,0,41,puppet
12,albatrossflavour,puppet_os_patching,albatrossflavour\puppet_os_patching\.rubocop.yml,<class 'dict'>,3,42,0,0,0,0,0,124,puppet
13,albatrossflavour,puppet_os_patching,albatrossflavour\puppet_os_patching\.travis.yml,<class 'dict'>,2,9,0,0,0,0,0,27,puppet
14,albatrossflavour,puppet_os_patching,albatrossflavour\puppet_os_patching\appveyor.yml,<class 'dict'>,3,11,0,0,0,0,0,63,puppet
15,albatrossflavour,puppet_os_patching,albatrossflavour\puppet_os_patching\bitbucket-pipelines.yml,<class 'dict'>,4,3,0,0,0,0,0,16,puppet
16,albatrossflavour,puppet_os_patching,albatrossflavour\puppet_os_patching\spec\default_facts.yml,<class 'dict'>,2,3,0,0,0,0,0,7,puppet
17,alphagov,govuk-puppet,alphagov\govuk-puppet\.travis.yml,<class 'dict'>,3,9,0,0,0,0,0,32,puppet
18,alphagov,govuk-puppet,alphagov\govuk-puppet\hiera.yml,<class 'dict'>,3,4,0,0,0,0,0,21,puppet
19,alphagov,govuk-puppet,alphagov\govuk-puppet\hiera_aws.yml,<class 'dict'>,3,4,0,0,0,0,0,22,puppet
20,alphagov,govuk-puppet,alphagov\govuk-puppet\modules\govuk_prometheus\files\etc\prometheus\prometheus.yml,<class 'dict'>,4,4,0,0,0,0,0,29,puppet
21,bartavelle,language-puppet,bartavelle\language-puppet\.travis.yml,<class 'dict'>,3,9,0,0,0,0,0,110,puppet
22,biemond,biemond-oradb,biemond\biemond-oradb\.coveralls.yml,<class 'dict'>,2,2,0,0,0,0,0,2,puppet
23,biemond,biemond-oradb,biemond\biemond-oradb\.fixtures.yml,<class 'dict'>,5,1,0,0,0,0,0,6,puppet
24,biemond,biemond-oradb,biemond\biemond-oradb\.gitlab-ci.yml,<class 'dict'>,4,6,0,0,0,0,0,41,puppet
